service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS223-1-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-2-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-3-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-4-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-5-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-6-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-7-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-8-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
BUS223-9-Wdy-02,Weekday schedule,Weekday,Weekday,1,20230312,20230701,Spring
Blue-1-Wkd,Weekday schedule (Rail replacement and track alignment work),Weekday (Rail replacement and track alignment work),Weekday,4,20230312,20230701,Spring
Boat-1-SaMarch-Fll-22,Saturday schedule,Saturday,Saturday,1,20220828,20230526,Fall
Boat-1-Su-Smr-22,Sunday schedule,Sunday,Sunday,1,20220523,20220827,Summer
Boat-1-SuMarch-Fll-22,Sunday schedule,Sunday,Sunday,1,20220828,20230526,Fall
Boat-2-Su-Smr-23,Sunday schedule,Sunday,Sunday,1,20230527,,Summer
Boat-3-Sa-Fll-22,Saturday schedule,Saturday,Saturday,1,20220828,20230526,Fall
Boat-3-Su-Fll-22,Sunday schedule,Sunday,Sunday,1,20220828,20230526,Fall
Boat-3-Su-Smr-23,Sunday schedule,Sunday,Sunday,1,20230527,,Summer
CR-1-ReadvilleSprShuttle-Mnd,Weekday schedule,Weekday,Weekday,4,20221017,,Fall/Winter
CR-1-ReadvilleSprShuttle-Snd,Sunday schedule,Sunday,Sunday,4,20221017,,Fall/Winter
CR-1-ReadvilleSprShuttle-Std,Saturday schedule,Saturday,Saturday,4,20221017,,Fall/Winter
CR-2-2ReadingFebMarShuttle-Snd,Sunday schedule,Sunday,Sunday,4,20221218,20230701,Fall/Winter
CR-2-2ReadingFebMarShuttle-Std,Saturday schedule,Saturday,Saturday,4,20221218,20230701,Fall/Winter
CR-2-2ReadingFebMarShuttle-Wkd,Weekday schedule,Weekday,Weekday,4,20221218,20230701,Fall/Winter
CR-3-LynnShuttleWtr-Snd,Sunday schedule,Sunday,Sunday,4,20221017,,Fall/Winter
CR-3-LynnShuttleWtr-Std,Saturday schedule,Saturday,Saturday,4,20221017,,Fall/Winter
CR-3-LynnShuttleWtr-Wkd,Weekday schedule,Weekday,Weekday,4,20221017,,Fall/Winter
CR-4-AttleboroMarAprShuttle-Snd,Sunday schedule,Sunday,Sunday,4,20221218,20230701,Fall/Winter
CR-4-AttleboroMarAprShuttle-Std,Saturday schedule,Saturday,Saturday,4,20221218,20230701,Fall/Winter
FLL 22-N-Sa-1,Saturday schedule,Saturday,Saturday,1,20221017,,Fall/Winter
FLL 22-N-Sa-1-S6d,Saturday schedule,Saturday,Saturday,1,20221017,,Fall/Winter
FLL 22-N-Sa-1-S72,Saturday schedule,Saturday,Saturday,1,20221017,,Fall/Winter
FLL 22-N-Sa-1-S9f,Saturday schedule,Saturday,Saturday,1,20221017,,Fall/Winter
FLL 22-N-Sa-15,Saturday schedule (modified service),Saturday (modified service),Saturday,4,20221017,,Fall/Winter
FLL 22-N-Su-1,Sunday schedule,Sunday,Sunday,1,20221017,,Fall/Winter
FLL 22-N-Su-1-S6d,Sunday schedule,Sunday,Sunday,1,20221017,,Fall/Winter
FLL 22-N-Su-1-S72,Sunday schedule,Sunday,Sunday,1,20221017,,Fall/Winter
FLL 22-N-Su-1-S9f,Sunday schedule,Sunday,Sunday,1,20221017,,Fall/Winter
FLL 22-N-Su-15,Sunday schedule (modified service),Sunday (modified service),Sunday,4,20221017,,Fall/Winter
FLL 22-N-Wdy-1,Weekday schedule,Weekday,Weekday,1,20221017,,Fall/Winter
FLL 22-N-Wdy-1-S6d,Weekday schedule,Weekday,Weekday,1,20221017,,Fall/Winter
FLL 22-N-Wdy-1-S72,Weekday schedule,Weekday,Weekday,1,20221017,,Fall/Winter
