deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55802794,07:58:00,07:58:00,17861,1,,
55802794,08:14:00,08:14:00,29004,2,,
55802821,08:16:00,08:16:00,899,1,,
55802821,08:35:00,08:35:00,1026,2,,
55802839,08:14:00,08:14:00,900,1,,
55802839,08:30:00,08:30:00,88333,2,,
55802868,09:16:00,09:16:00,175,1,,
55802868,09:19:00,09:19:00,178,2,,
55803086,06:33:00,06:33:00,899,1,,
55803086,06:52:00,06:52:00,1026,2,,
55803123,05:39:00,05:39:00,900,1,,
55803123,05:54:00,05:54:00,88333,2,,
55803315,16:02:00,16:02:00,142,1,,
55803315,16:17:00,16:17:00,6551,2,,
55803324,14:17:00,14:17:00,8687,1,,
55803324,14:42:00,14:42:00,17862,2,,
55803325,15:22:00,15:22:00,323,1,,
55803325,15:50:00,15:50:00,899,2,,
55803349,14:21:00,14:21:00,33,1,,
55803349,14:33:00,14:33:00,16535,2,,
55803356,15:11:00,15:11:00,900,1,,
55803356,15:20:00,15:20:00,1026,2,,
55803357,14:58:00,14:58:00,900,1,,
55803357,15:17:00,15:17:00,899,2,,
55803367,14:01:00,14:01:00,11531,1,,
55803367,14:12:00,14:12:00,11780,2,,
55803503,17:02:00,17:02:00,88333,1,,
55803503,17:31:00,17:31:00,6551,2,,
55803615,09:40:00,09:40:00,6551,1,,
55803615,09:53:00,09:53:00,,2,,47800
55803616,10:46:00,10:46:00,8178,1,,
55803616,11:09:00,11:09:00,,2,,47800
55803617,18:36:00,18:36:00,323,1,,
55803617,18:56:00,18:56:00,,2,,47800
55803618,06:08:00,06:08:00,,1,,47800
55803618,06:24:00,06:24:00,900,2,,
55803619,18:20:00,18:20:00,900,1,,
55803619,18:43:00,18:43:00,,2,,47800
55803620,19:18:00,19:18:00,31255,1,,
55803620,19:28:00,19:28:00,,2,,47800
55803621,15:10:00,15:10:00,,1,,47800
55803621,15:20:00,15:20:00,31255,2,,
55803622,09:36:00,09:36:00,903,1,,
55803622,09:55:00,09:55:00,,2,,47800
55803623,04:50:00,04:50:00,,1,,47800
55803623,05:00:00,05:00:00,17863,2,,
55803624,11:25:00,11:25:00,903,1,,
55803624,11:44:00,11:44:00,,2,,47800
55803625,11:19:00,11:19:00,,1,,47800
55803625,11:35:00,11:35:00,900,2,,
55803626,06:09:00,06:09:00,,1,,47800
55803626,06:30:00,06:30:00,994,2,,
55803627,16:46:00,16:46:00,,1,,47800
55803627,17:05:00,17:05:00,8178,2,,
55803628,06:15:00,06:15:00,,1,,47800
55803628,06:31:00,06:31:00,900,2,,
55803629,19:20:00,19:20:00,899,1,,
55803629,19:36:00,19:36:00,,2,,47800
55803630,13:25:00,13:25:00,,1,,47800
55803630,13:40:00,13:40:00,13321,2,,
55803631,14:02:00,14:02:00,,1,,47800
55803631,14:10:00,14:10:00,13,2,,
55803632,18:51:00,18:51:00,8178,1,,
55803632,19:14:00,19:14:00,,2,,47800
55803633,16:25:00,16:25:00,,1,,47800
55803633,16:45:00,16:45:00,323,2,,
55803634,18:54:00,18:54:00,900,1,,
55803634,19:15:00,19:15:00,,2,,47800
55803635,16:44:00,16:44:00,903,1,,
55803635,16:48:00,16:48:00,900,2,,
55803636,16:39:00,16:39:00,,1,,47800
55803636,16:50:00,16:50:00,113,2,,
55803637,18:20:00,18:20:00,178,1,,
55803637,18:29:00,18:29:00,,2,,47800
55803638,17:44:00,17:44:00,323,1,,
55803638,18:04:00,18:04:00,,2,,47800
55803639,05:57:00,05:57:00,,1,,47800
55803639,06:18:00,06:18:00,1026,2,,
55803640,09:34:00,09:34:00,17862,1,,
55803640,09:47:00,09:47:00,,2,,47800
55803641,10:11:00,10:11:00,8178,1,,
55803641,10:34:00,10:34:00,,2,,47800
55803642,13:35:00,13:35:00,,1,,47800
55803642,13:50:00,13:50:00,6551,2,,
55803643,11:20:00,11:20:00,,1,,47800
55803643,11:35:00,11:35:00,903,2,,
