deadhead_id,service_id,block_id,shape_id,to_trip_id,from_trip_id,to_deadhead_id,from_deadhead_id
55803760,SpgWkd,A04-1,,55802856,,,
55803674,SpgWkd,A04-1,,,55802861,,
55846019,Jnh,A04-1,,55845224,,,
55846034,Jnh,A04-1,,,55845229,,
55803671,SpgWkd,A04-2,,55802830,,,
55803718,SpgWkd,A04-2,,,55802832,,
55846177,Jnh,A04-2,,55845203,,,
55846178,Jnh,A04-2,,,55845205,,
55803636,SpgWkd,A04-3,,55803438,,,
55803656,SpgWkd,A04-3,,,55803441,,
55846171,Jnh,A04-3,,55845561,,,
55846003,Jnh,A04-3,,,55845708,,
55803621,SpgWkd,A04-4,,55803261,,,
55803672,SpgWkd,A04-4,,,55803256,,
55846168,Jnh,A04-4,,55845559,,,
55846111,Jnh,A04-4,,,55845707,,
55803803,SpgWkd,A04-5,,55803259,,,
55803664,SpgWkd,A04-5,,,55803440,,
55846082,Jnh,A07-5,,55845607,,,
55846052,Jnh,A07-5,pull0212,,55845739,,
55803630,SpgWkd,A07-6,,55803308,,,
55803349,SpgWkd,A07-6,,55803313,55803308,,
55803661,SpgWkd,A07-6,pull0212,,55803428,,
55803654,SpgWkd,A08-10,,55803488,,,
55803629,SpgWkd,A08-10,,,55803490,,
55846085,Jnh,A08-10,,55845481,,,
55846115,Jnh,A08-10,,,55845603,,
55803712,SpgWkd,A08-11,,55803135,,,
55803752,SpgWkd,A08-11,,,55803137,,
55803673,SpgWkd,A08-12,,55803302,,,
55803315,SpgWkd,A08-12,,55803376,55803302,,
55803679,SpgWkd,A08-12,,,55803376,,
55846100,Jnh,A08-6,,55845393,,,
55846062,Jnh,A08-6,,,55845395,,
55803805,SpgWkd,A08-7,,55803067,,,
55803728,SpgWkd,A08-7,,,55803069,,
55846092,Jnh,A08-7,,55845449,,,
55846038,Jnh,A08-7,,,55845452,,
55803684,SpgWkd,A08-8,,55803138,,,
55803669,SpgWkd,A08-8,,,55803141,,
55845998,Jnh,A08-8,,55845755,,,
55846025,Jnh,A08-8,,,55845757,,
55803771,SpgWkd,A08-9,,55803303,,,
55803653,SpgWkd,A08-9,,55803436,55803305,,
55803620,SpgWkd,A08-9,,,55803445,,
55846000,Jnh,A08-9,,55845447,,,
55846033,Jnh,A08-9,,,55845448,,
55846037,Jnh,A09-11,pull0213,55845591,,,
55846183,Jnh,A09-11,pull0212,,55845819,,
55846005,Jnh,A09-12,pull0208,55845589,,,
55846006,Jnh,A09-12,pull0212,,55845737,,
55803813,SpgWkd,A09-13,,55802865,,,
55802868,SpgWkd,A09-13,,55802866,55802864,,
55803731,SpgWkd,A09-13,pull0212,,55802866,,
55846070,Jnh,A09-13,pull0208,55845596,,,
55846151,Jnh,A09-13,pull0212,,55845816,,
55803751,SpgWkd,A09-14,pull0208,55803288,,,
55803821,SpgWkd,A09-14,pull0212,,55803575,,
55803706,SpgWkd,A09-15,,55803309,,,
55803725,SpgWkd,A09-15,pull0212,,55803472,,
55803789,SpgWkd,A09-16,pull0208,55803296,,,
55803713,SpgWkd,A09-16,pull0212,,55803572,,
55846108,Jnh,A10-14,,55845233,,,
55845236,Jnh,A10-14,,55845234,55845232,,
55846051,Jnh,A10-14,,,55845242,,
55845984,Jnh,A10-15,pull0213,55845599,,,
55846058,Jnh,A10-15,,55845703,55845594,,
55845999,Jnh,A10-15,,,55845712,,
55846004,Jnh,A10-16,,55845479,,,
55846014,Jnh,A10-16,pull0212,,55845751,,
55803647,SpgWkd,A10-17,,55803293,,,
55803637,SpgWkd,A10-17,,,55803487,,
55846069,Jnh,A10-17,,55845750,,,
55846180,Jnh,A10-17,pull0212,,55845753,,
55803738,SpgWkd,A10-18,,55803301,,,
55803692,SpgWkd,A10-18,pull0212,,55803486,,
55803719,SpgWkd,A10-19,,55803484,,,
55803819,SpgWkd,A10-19,,,55803481,,
55803736,SpgWkd,A10-20,,55803578,,,
55803797,SpgWkd,A10-20,,,55803577,,
55803659,SpgWkd,A10-21,pull0213,55802875,,,
55803681,SpgWkd,A10-21,,,55803171,,
55803799,SpgWkd,A10-22,,55803295,,,
55803739,SpgWkd,A10-22,,,55803300,,
55846122,Jnh,A15-18,pull0143,55845324,,,
55846066,Jnh,A15-18,,,55845326,,
55803657,SpgWkd,A15-23,,55802988,,,
55803716,SpgWkd,A15-23,,,55802986,,
55846166,Jnh,A16-19,,55845598,,,
55846116,Jnh,A16-19,,,55845758,,
55803631,SpgWkd,A16-24,,55803298,,,
55803658,SpgWkd,A16-24,,,55803491,,
55846023,Jnh,A17-20,,55845536,,,
55846117,Jnh,A17-20,,,55845691,,
55803651,SpgWkd,A17-25,,55803236,,,
55803617,SpgWkd,A17-25,,,55803424,,
55846163,Jnh,A19-21,,55845429,,,
55846164,Jnh,A19-21,,,55845432,,
55846172,Jnh,A19-22,pull0143,55845219,,,
55846173,Jnh,A19-22,,,55845221,,
55846039,Jnh,A19-23,,55845543,,,
55846125,Jnh,A19-23,,55845748,55845690,,
55846107,Jnh,A19-23,,,55845821,,
55846013,Jnh,A19-24,,55845528,,,
55846002,Jnh,A19-24,,,55845701,,
55846127,Jnh,A19-25,,55845520,,,
55846030,Jnh,A19-25,,,55845542,,
55803710,SpgWkd,A19-26,,55803113,,,
55803640,SpgWkd,A19-26,,,55803116,,
55846128,Jnh,A19-26,pull0143,55845532,,,
55846102,Jnh,A19-26,,,55845548,,
55803809,SpgWkd,A19-27,pull0143,55802849,,,
55803810,SpgWkd,A19-27,,,55802851,,
55845982,Jnh,A19-27,,55845533,,,
55846042,Jnh,A19-27,,,55845605,,
55803796,SpgWkd,A19-28,,55803239,,,
55803746,SpgWkd,A19-28,,,55803423,,
55803633,SpgWkd,A19-29,,55803228,,,
55803815,SpgWkd,A19-29,,,55803434,,
55803783,SpgWkd,A19-30,pull0143,55803232,,,
55803785,SpgWkd,A19-30,,,55803248,,
55803817,SpgWkd,A19-31,,55803233,,,
55803818,SpgWkd,A19-31,,,55803311,,
55803670,SpgWkd,A19-32,,55803245,,,
55803638,SpgWkd,A19-32,,,55803242,,
55846098,Jnh,A22-28,pull0143,55845277,,,
55845986,Jnh,A22-28,,,55845278,,
55846123,Jnh,A22-29,pull0143,55845251,,,
55846029,Jnh,A22-29,,,55845254,,
55845994,Jnh,A22-30,,55845537,,,
55846001,Jnh,A22-30,,,55845756,,
55803781,SpgWkd,A22-33,pull0143,55802924,,,
55803782,SpgWkd,A22-33,,,55802925,,
55803768,SpgWkd,A22-34,,55802889,,,
55803714,SpgWkd,A22-34,,,55802892,,
55803722,SpgWkd,A22-35,pull0143,55803307,,,
55803750,SpgWkd,A22-35,,,55803489,,
55846035,Jnh,A43-31,pull0143,55845362,,,
55846161,Jnh,A43-31,,,55845820,,
55803623,SpgWkd,A43-36,pull0143,55803030,,,
55803798,SpgWkd,A43-36,,,55803576,,
55845990,Jnh,A501-64,,55845258,,,
55846012,Jnh,A501-64,pull0142,,55845255,,
55846072,Jnh,A501-65,,55845309,,,
55846174,Jnh,A501-65,pull0142,,55845310,,
55846155,Jnh,A501-66,pull0141,55845639,,,
55846156,Jnh,A501-66,,,55845825,,
55803808,SpgWkd,A501-67,,55802900,,,
55803762,SpgWkd,A501-67,pull0142,,55802897,,
55803626,SpgWkd,A501-68,,55802790,,,
55803724,SpgWkd,A501-68,pull0142,,55802814,,
55803697,SpgWkd,A501-69,,55802965,,,
55803715,SpgWkd,A501-69,pull0142,,55802966,,
55803742,SpgWkd,A501-70,pull0141,55803372,,,
55803744,SpgWkd,A501-70,,,55803601,,
55846110,Jnh,A504-67,,55845214,,,
55845211,Jnh,A504-67,,55845217,55845216,,
55846170,Jnh,A504-67,pull0142,,55845217,,
55846137,Jnh,A504-68,,55845280,,,
55846139,Jnh,A504-68,,,55845283,,
55846165,Jnh,A504-69,,55845168,,,
55846056,Jnh,A504-69,pull0142,,55845314,,
55846075,Jnh,A504-70,,55845312,,,
55845981,Jnh,A504-70,pull0142,,55845316,,
55803779,SpgWkd,A504-71,,55802844,,,
55802839,SpgWkd,A504-71,,55802847,55802846,,
55803780,SpgWkd,A504-71,pull0142,,55802847,,
55846105,Jnh,A504-71,,55845188,,,
55845985,Jnh,A504-71,pull0142,,55845185,,
55803686,SpgWkd,A504-72,,55802930,,,
55803784,SpgWkd,A504-72,pull0142,,55802931,,
55846126,Jnh,A504-72,pull0141,55845632,,,
55846063,Jnh,A504-72,,,55845826,,
55803770,SpgWkd,A504-73,,55802970,,,
55803758,SpgWkd,A504-73,pull0142,,55802972,,
55846011,Jnh,A504-73,pull0141,55845645,,,
55845996,Jnh,A504-73,,,55845791,,
55803702,SpgWkd,A504-74,,55802812,,,
55803726,SpgWkd,A504-74,,,55802878,,
55846022,Jnh,A504-74,,55845601,,,
55845608,Jnh,A504-74,,55845643,55845601,,
55846089,Jnh,A504-74,,,55845792,,
55803743,SpgWkd,A504-75,pull0141,55803370,,,
55803735,SpgWkd,A504-75,,,55803602,,
55846131,Jnh,A504-75,pull0141,55845243,,,
55846027,Jnh,A504-75,pull0142,,55845487,,
55803642,SpgWkd,A504-76,pull0141,55803378,,,
55803650,SpgWkd,A504-76,,,55803547,,
55846159,Jnh,A504-76,pull0141,55845454,,,
55846057,Jnh,A504-76,pull0142,,55845492,,
55803682,SpgWkd,A504-77,pull0141,55802937,,,
55803683,SpgWkd,A504-77,pull0142,,55803191,,
55846074,Jnh,A504-77,pull0141,55845490,,,
55846009,Jnh,A504-77,pull0142,,55845642,,
55803625,SpgWkd,A504-78,,55803188,,,
55803668,SpgWkd,A504-78,pull0142,,55803371,,
55846044,Jnh,A505-78,,55845433,,,
55845435,Jnh,A505-78,,55845436,55845434,,
55846162,Jnh,A505-78,pull0142,,55845190,,
55803775,SpgWkd,A505-79,,55803119,,,
55803123,SpgWkd,A505-79,,55803124,55803120,,
55803776,SpgWkd,A505-79,pull0142,,55803125,,
55846113,Jnh,A505-79,,55845275,,,
55846142,Jnh,A505-79,pull0142,,55845271,,
55803766,SpgWkd,A505-80,,55802922,,,
55803720,SpgWkd,A505-80,pull0142,,55802918,,
55846114,Jnh,A505-80,,55845388,,,
55846046,Jnh,A505-80,pull0142,,55845390,,
55803688,SpgWkd,A505-81,,55803062,,,
55803615,SpgWkd,A505-81,pull0142,,55803064,,
55846176,Jnh,A505-81,pull0141,55845652,,,
55845759,Jnh,A505-81,,55845798,55845652,,
55846024,Jnh,A505-81,pull0142,,55845796,,
55803729,SpgWkd,A505-82,pull0141,55803385,,,
