route_name,direction_id,direction_name,direction_do
Blue Line,0,Westbound,0
Blue Line,1,Eastbound,1
Green Line,0,Westbound,0
Green Line,1,Eastbound,1
Green Line B branch,0,Westbound,0
Green Line B branch,1,Eastbound,1
Green Line C branch,0,Westbound,0
Green Line C branch,1,Eastbound,1
Green Line D branch,0,Westbound,0
Green Line D branch,1,Eastbound,1
Green Line E branch,0,Westbound,0
Green Line E branch,1,Eastbound,1
Green Line B,0,Westbound,0
Green Line B,1,Eastbound,1
Green Line C,0,Westbound,0
Green Line C,1,Eastbound,1
Green Line D,0,Westbound,0
Green Line D,1,Eastbound,1
Green Line E,0,Westbound,0
Green Line E,1,Eastbound,1
Mattapan High-Speed Line,0,Westbound,0
Mattapan High-Speed Line,1,Eastbound,1
Orange Line,0,Southbound,0
Orange Line,1,Northbound,1
Green Line (all trains),0,Westbound,0
Green Line (all trains),1,Eastbound,1
Red Line,0,Southbound,0
Red Line,1,Northbound,1
