elev_id,stop_id
6,70023
6,place-state
102,70036
102,place-ogmnl
103,70036
103,place-ogmnl
104,70036
104,place-ogmnl
105,70036
105,place-ogmnl
112,70077
112,place-dwnxg
113,70078
113,place-dwnxg
123,13
123,70083
123,place-andrw
124,13
124,70083
124,place-andrw
125,70038
125,place-bomnl
127,875
127,8750
127,10642
127,70001
127,Forest Hills
127,place-forhl
128,875
128,8750
128,10642
128,70001
128,Forest Hills
128,place-forhl
129,875
129,8750
129,10642
129,70001
129,Forest Hills
129,place-forhl
130,875
130,8750
130,10642
130,70001
130,Forest Hills
130,place-forhl
131,70002
131,70003
131,place-grnst
132,70004
132,70005
132,place-sbmnl
133,70006
133,70007
133,place-jaksn
134,70008
134,70009
134,place-rcmnl
135,1226
135,17861
135,17862
135,17863
135,70010
135,70011
135,place-rugg
135,Ruggles
136,1226
136,17861
136,17862
136,17863
136,70010
136,70011
136,place-rugg
136,Ruggles
137,1226
137,17861
137,17862
137,17863
137,70010
137,70011
137,place-rugg
137,Ruggles
138,1226
138,17861
138,17862
138,17863
138,70010
138,70011
138,place-rugg
138,Ruggles
139,187
139,188
139,70012
139,70013
139,place-masta
140,70014
140,70015
140,place-bbsta
141,70014
141,70015
141,place-bbsta
142,Back Bay
142,place-bbsta
143,Back Bay
143,place-bbsta
144,Back Bay
144,place-bbsta
145,70016
145,70017
145,place-tumnl
146,70017
146,place-tumnl
147,70016
147,place-tumnl
148,70017
148,place-tumnl
149,70016
149,place-tumnl
150,70239
150,70240
150,place-prmnl
151,70239
151,place-prmnl
152,70240
152,place-prmnl
301,13
301,70084
301,place-andrw
302,70026
302,70027
302,70205
302,70206
302,place-north
303,70026
303,70027
303,70205
303,70206
303,place-north
304,70026
304,70027
304,70205
304,70206
304,North Station
304,place-north
305,70028
305,70029
305,place-ccmnl
307,70030
307,70031
307,place-sull
308,70030
308,70031
308,place-sull
309,70032
309,place-welln
310,70033
310,place-welln
311,70034
311,70035
311,place-mlmnl
312,Malden Center
312,place-mlmnl
313,8310
313,49701
313,70024
313,70025
313,70203
313,70204
313,place-haecl
315,70153
315,place-hymnl
320,70196
320,70197
320,70198
320,70199
320,70200
320,place-pktrm
322,70085
322,70086
322,place-jfk
325,3125
325,70097
325,70098
325,place-nqncy
326,3125
326,70097
326,70098
326,place-nqncy
327,70097
327,70098
327,place-nqncy
329,70099
329,70100
329,place-wlsta
330,32001
330,32002
330,32003
330,32004
330,32005
330,70101
330,70102
330,place-qnctr
331,70021
331,70077
331,place-dwnxg
332,70021
332,70078
332,place-dwnxg
333,38671
333,70105
333,Braintree
333,place-brntn
334,70105
334,place-brntn
335,70105
335,place-brntn
336,70063
336,70064
336,place-davis
337,70063
337,70064
337,place-davis
338,70063
338,70064
338,place-davis
339,70063
339,70064
339,place-davis
340,70063
340,70064
340,place-davis
341,70063
341,70064
341,place-davis
342,70063
342,70064
342,place-davis
343,70063
343,70064
343,place-davis
344,70103
344,70104
344,place-qamnl
345,70103
345,70104
345,place-qamnl
346,41031
346,70103
346,70104
346,place-qamnl
347,41031
347,70103
347,70104
347,place-qamnl
348,41031
348,70103
348,70104
348,place-qamnl
349,141
349,70061
349,place-alfcl
350,141
350,70061
350,place-alfcl
351,141
351,70061
351,place-alfcl
352,141
352,70061
352,place-alfcl
353,141
353,70061
353,place-alfcl
354,141
354,70061
354,place-alfcl
355,141
355,70061
355,place-alfcl
356,141
356,70061
356,place-alfcl
357,141
357,70061
357,place-alfcl
359,70069
359,70070
359,place-cntsq
360,70069
360,70070
360,place-cntsq
361,70071
361,70072
361,place-knncl
362,70071
362,70072
362,place-knncl
364,70021
364,place-dwnxg
365,70020
365,place-dwnxg
366,70018
366,place-chncl
367,70081
367,70082
367,place-brdwy
372,70081
372,70082
372,place-brdwy
373,70076
373,place-pktrm
374,70023
374,place-state
375,70075
375,place-pktrm
377,70019
377,place-chncl
378,70055
378,place-bmmnl
379,70055
379,place-bmmnl
380,70050
380,place-wimnl
382,70080
382,place-sstat
383,70097
383,70098
383,place-nqncy
384,70026
384,70027
384,70205
384,70206
384,North Station
384,place-north
385,70026
385,70027
385,70205
385,70206
385,North Station
385,place-north
386,70079
386,70080
386,74611
386,74617
386,place-sstat
386,South Station
387,70079
387,70080
387,74611
387,74617
387,place-sstat
387,South Station
388,70079
388,70080
388,74611
388,74617
388,place-sstat
388,South Station
389,70079
389,70080
389,74611
389,74617
389,place-sstat
390,70079
390,70080
390,74611
390,74617
390,place-sstat
391,70026
391,70027
391,70205
391,70206
391,North Station
391,place-north
392,70026
392,70027
392,70205
392,70206
392,North Station
392,place-north
393,70026
393,70027
393,70205
393,70206
393,North Station
393,place-north
394,70044
394,place-aqucl
395,70043
395,place-aqucl
396,70043
396,70044
396,place-aqucl
397,70043
397,70044
397,place-aqucl
398,70079
398,70080
398,74611
398,74617
398,place-sstat
399,70079
399,70080
399,74611
399,74617
399,place-sstat
400,70079
400,place-sstat
401,74613
401,74615
401,place-wtcst
402,74613
402,74615
402,place-wtcst
403,74613
403,74615
403,place-wtcst
404,74613
404,74615
404,place-wtcst
405,70043
405,70044
405,place-aqucl
406,70043
406,70044
406,place-aqucl
407,7096
407,70047
407,70048
407,place-aport
408,7096
408,70047
408,70048
408,place-aport
409,7096
409,70047
409,70048
409,place-aport
410,7096
410,70047
410,70048
410,place-aport
411,74611
411,place-sstat
412,74612
412,74616
412,place-crtst
413,74612
413,74616
413,place-crtst
414,74612
414,74616
414,place-crtst
415,74612
415,74616
415,place-crtst
416,74612
416,74616
416,place-crtst
417,74612
417,74616
417,place-crtst
418,74612
418,74616
418,place-crtst
419,74617
419,place-sstat
420,70080
420,74611
420,74617
420,place-sstat
421,70026
421,70027
421,70205
