elev_id,line,station_renamed,alt_svc_text,alt_svc_text_140,alt_elev_ids,parent_stop_id,elev_type
6,O,STATE STREET - Northbound Platform to Paid Lobby,,,n/a,place-state,Escalator
102,O,OAKGROVE,,,n/a,place-ogmnl,Escalator
103,O,OAKGROVE,,,n/a,place-ogmnl,Escalator
104,O,OAKGROVE - Washington St to Unpaid,,,n/a,place-ogmnl,Escalator
105,O,OAKGROVE - Inbound Platform to Paid Lobby,,,n/a,place-ogmnl,Escalator
112,R,DOWNTOWN XING - Southbound Platform to Chauncy Street,,,n/a,place-dwnxg,Escalator
113,R,DOWNTOWN XING - Northbound Platform to Hawley Street,,,n/a,place-dwnxg,Escalator
123,R,ANDREW - Southbound Platform to Busway,,,n/a,place-andrw,Escalator
124,R,ANDREW - Southbound Platform to Busway,,,n/a,place-andrw,Escalator
125,B,BOWDOIN - Lobby to Street,,,n/a,place-bomnl,Escalator
127,O,FOREST HILLS - Busway (North end) to Lobby,,,n/a,place-forhl,Escalator
128,O,FOREST HILLS - Busway (South end) to Lobby,,,n/a,place-forhl,Escalator
129,O,FOREST HILLS - Lobby 1 to Platform,,,n/a,place-forhl,Escalator
130,O,FOREST HILLS - Lobby 2 to Platform,,,n/a,place-forhl,Escalator
131,O,GREEN STREET - Platform to Paid Lobby,,,n/a,place-grnst,Escalator
132,O,STONY BROOK - Lobby One to Platform,,,n/a,place-sbmnl,Escalator
133,O,JACKSON SQUARE - Lobby One Street to Platform,,,n/a,place-jaksn,Escalator
134,O,ROXBURY XING - Lobby One Street to Platform,,,n/a,place-rcmnl,Escalator
135,O,RUGGLES - Busway to Paid Lobby,,,n/a,place-rugg,Escalator
136,O,RUGGLES - Southbound Platform to Paid Lobby,,,n/a,place-rugg,Escalator
137,O,RUGGLES - Northbound Platform to Paid Lobby,,,n/a,place-rugg,Escalator
138,O,RUGGLES - N.E.U. to Un - Paid Lobby,,,n/a,place-rugg,Escalator
139,O,MASS. AVE. Lobby to Platform,,,n/a,place-masta,Escalator
140,O,BACK BAY - Lobby to Orange Line Platform,,,n/a,place-bbsta,Escalator
141,O,BACK BAY - Lobby to Orange Line Platform,,,n/a,place-bbsta,Escalator
142,O,BACK BAY - Lobby to Commuter Rail Track 1/3,,,n/a,place-bbsta,Escalator
143,O,BACK BAY - Lobby to Commuter Rail Track 1/3,,,n/a,place-bbsta,Escalator
144,O,BACK BAY - Lobby Commuter Rail Track 2,,,n/a,place-bbsta,Escalator
145,O,TUFTS MED. - Street to Lobby (N),,,n/a,place-tumnl,Escalator
146,O,TUFTS MED. - Mezzanine to Inbound Platform North,,,n/a,place-tumnl,Escalator
147,O,TUFTS MED. - NE Med Ctr Mezzanine to Outbound Platform,,,n/a,place-tumnl,Escalator
148,O,TUFTS MED. - Street to Inbound Platform (South end),,,n/a,place-tumnl,Escalator
149,O,TUFTS MED. - Street to Outbound Platform (North end),,,n/a,place-tumnl,Escalator
150,G,PRUDENTIAL - Mezzanine to Street,,,n/a,place-prmnl,Escalator
151,G,PRUDENTIAL - Outbound Platform to Lobby,,,n/a,place-prmnl,Escalator
152,G,PRUDENTIAL - Lobby to Inbound Platform,,,n/a,place-prmnl,Escalator
301,R,ANDREW - Northbound Platform to CSA Area,,,n/a,place-andrw,Escalator
302,O,NO. STATION - Southbound Platform to Paid Lobby ,,,n/a,place-north,Escalator
303,O,NO. STATION - Paid Lobby to Southbound Platform ,,,n/a,place-north,Escalator
304,O,NO. STATION - Paid Lobby to Northbound Platform ,,,n/a,place-north,Escalator
305,O,COMMUNITY COLLEGE - Southbound Platform to Paid Lobby,,,n/a,place-ccmnl,Escalator
307,O,SULLIVAN - Southbound Platform to Paid Lobby,,,n/a,place-sull,Escalator
