"facility_id","property_id","value"
"park-PB-0194","enclosed","2"
"park-PB-0194","attended","2"
"park-PB-0194","capacity","405"
"park-PB-0194","capacity-accessible","9"
"park-PB-0194","operator","Republic Parking System"
"park-PB-0194","owner","MBTA"
"park-PB-0194","contact","MBTA Customer Support"
"park-PB-0194","contact-url","http://www.parkmbta.com/"
"park-PB-0194","contact-phone","617-222-3200"
"park-PB-0194","address","231 Centre Ave, Abington, MA 02351"
"park-PB-0194","municipality","Abington"
"park-PB-0194","payment-form-accepted","invoice"
"park-PB-0194","payment-form-accepted","mobile-app"
"park-PB-0194","payment-app","PayByPhone"
"park-PB-0194","payment-app-url","https://www.paybyphone.com/"
"park-PB-0194","payment-app-id","4401"
"park-PB-0194","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-PB-0194","fee-monthly","$70"
"park-PB-0194","weekday-typical-utilization","327"
"park-PB-0194","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-alfcl-garage","enclosed","1"
"park-alfcl-garage","attended","1"
"park-alfcl-garage","capacity","2627"
"park-alfcl-garage","capacity-accessible","31"
"park-alfcl-garage","operator","Republic Parking System"
"park-alfcl-garage","owner","MBTA"
"park-alfcl-garage","contact","MBTA Customer Support"
"park-alfcl-garage","contact-url","http://www.parkmbta.com/"
"park-alfcl-garage","contact-phone","617-222-3200"
"park-alfcl-garage","address","Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140"
"park-alfcl-garage","municipality","Cambridge"
"park-alfcl-garage","payment-form-accepted","cash"
"park-alfcl-garage","payment-form-accepted","credit-debit-card"
"park-alfcl-garage","payment-form-accepted","smartcard"
"park-alfcl-garage","fee-daily","$7 for first 24 hours, $8 for each additional 24 hours"
"park-alfcl-garage","weekday-utilization-summary","No data"
"ev-alfcl-garage","capacity","6"
"park-NHRML-0127","enclosed","2"
"park-NHRML-0127","attended","2"
"park-NHRML-0127","capacity","2000"
"park-NHRML-0127","capacity-accessible","24"
"park-NHRML-0127","operator","Massport"
"park-NHRML-0127","owner","Local transit authority"
"park-NHRML-0127","contact","Massport Logan Express"
"park-NHRML-0127","contact-url","http://www.massport.com/"
"park-NHRML-0127","contact-phone","781-721-9487"
"park-NHRML-0127","address","100 Atlantic Ave, Woburn, MA 01801"
"park-NHRML-0127","municipality","Woburn"
"park-NHRML-0127","payment-form-accepted","credit-debit-card"
"park-NHRML-0127","fee-daily","$7"
"park-NHRML-0127","note","Massport is responsible for parking maintenance, payments, and snow removal. Overnight parking is available."
"park-WR-0228","enclosed","2"
"park-WR-0228","attended","2"
"park-WR-0228","capacity","150"
"park-WR-0228","capacity-accessible","4"
"park-WR-0228","operator","Republic Parking System"
"park-WR-0228","owner","MBTA"
"park-WR-0228","contact","MBTA Customer Support"
"park-WR-0228","contact-url","http://www.parkmbta.com/"
"park-WR-0228","contact-phone","617-222-3200"
"park-WR-0228","address","17 Railroad St, Andover, MA 01810"
"park-WR-0228","municipality","Andover"
"park-WR-0228","payment-form-accepted","invoice"
"park-WR-0228","payment-form-accepted","mobile-app"
"park-WR-0228","payment-app","PayByPhone"
"park-WR-0228","payment-app-url","https://www.paybyphone.com/"
"park-WR-0228","payment-app-id","4229"
"park-WR-0228","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-WR-0228","fee-monthly","$70"
"park-WR-0228","weekday-typical-utilization","132"
"park-WR-0228","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-WML-0252","enclosed","2"
"park-WML-0252","attended","2"
"park-WML-0252","capacity","678"
"park-WML-0252","capacity-accessible","16"
"park-WML-0252","operator","Republic Parking System"
"park-WML-0252","owner","MBTA"
"park-WML-0252","contact","MBTA Customer Support"
"park-WML-0252","contact-url","http://www.parkmbta.com/"
"park-WML-0252","contact-phone","617-222-3200"
"park-WML-0252","address","Pleasant St and Cordaville Rd, Ashland, MA 01721"
"park-WML-0252","municipality","Ashland"
"park-WML-0252","payment-form-accepted","invoice"
"park-WML-0252","payment-form-accepted","mobile-app"
"park-WML-0252","payment-app","PayByPhone"
"park-WML-0252","payment-app-url","https://www.paybyphone.com/"
"park-WML-0252","payment-app-id","4281"
"park-WML-0252","fee-daily","$4 PayByPhone, $4.50 invoice"
"park-WML-0252","fee-monthly","$70"
"park-WML-0252","weekday-typical-utilization","482"
"park-WML-0252","weekday-utilization-summary","Utilization never crosses 90% of capacity"
"park-NEC-1969","enclosed","2"
"park-NEC-1969","attended","2"
"park-NEC-1969","capacity","780"
"park-NEC-1969","capacity-accessible","16"
