hrrt_route_id,gtfs_route_id,direction_id,direction_name,branch_letter,trip_name,trip_headsign
800_,Green-B,0,Westbound,B,B train from Lechmere to Boston College,Boston College
800_,Green-B,1,Eastbound,B,B train from Boston College to Lechmere,Lechmere
801_,Green-B,0,Westbound,B,B train from North Station to Boston College,Boston College
801_,Green-B,1,Eastbound,B,B train from Boston College to North Station,North Station
802_,Green-B,0,Westbound,B,B train from Government Center to Boston College,Boston College
802_,Green-B,1,Eastbound,B,B train from Boston College to Government Center,Government Center
803_,Green-B,0,Westbound,B,B train from Park Street to Boston College,Boston College
803_,Green-B,1,Eastbound,B,B train from Boston College to Park Street,Park Street
810_,Green-B,0,Westbound,B,B train from Lechmere to Boston College,Boston College
810_,Green-B,1,Eastbound,B,B train from Boston College to Lechmere,Lechmere
811_,Green-B,0,Westbound,B,B train from North Station to Boston College,Boston College
811_,Green-B,1,Eastbound,B,B train from Boston College to North Station,North Station
812_,Green-B,0,Westbound,B,B train from Government Center to Boston College,Boston College
812_,Green-B,1,Eastbound,B,B train from Boston College to Government Center,Government Center
813_,Green-B,0,Westbound,B,B train from Park Street to Boston College,Boston College
813_,Green-B,1,Eastbound,B,B train from Boston College to Park Street,Park Street
814_,Green-B,0,Westbound,B,B train from Park Street to Boston College,Boston College
814_,Green-B,1,Eastbound,B,B train from Boston College to Park Street,Park Street
820_,Green-E,0,Westbound,,Green Line to Haymarket,Haymarket
820_,Green-E,1,Eastbound,,Green Line to Lechmere,Lechmere
821_,Green-E,0,Westbound,,Green Line to Haymarket,Haymarket
821_,Green-E,1,Eastbound,,Green Line to North Station,North Station
822_,Green-B,0,Westbound,B,B train from Government Center to Boston College,Boston College
822_,Green-B,1,Eastbound,B,B train from Boston College to Government Center,Government Center
823_,Green-B,0,Westbound,B,B train from Park Street to Boston College,Boston College
823_,Green-B,1,Eastbound,B,B train from Boston College to Park Street,Park Street
830_,Green-C,0,Westbound,C,C train from Lechmere to Cleveland Circle,Cleveland Circle
830_,Green-C,1,Eastbound,C,C train from Cleveland Circle to Lechmere,Lechmere
831_,Green-C,0,Westbound,C,C train from North Station to Cleveland Circle,Cleveland Circle
831_,Green-C,1,Eastbound,C,C train from Cleveland Circle to North Station,North Station
832_,Green-C,0,Westbound,C,C train from Government Center to Cleveland Circle,Cleveland Circle
