pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,pathway_type,traversal_time,wheelchair_traversal_time,ramp_slope,stair_count,pathway_name,pathway_code,signposted_as,instructions
alfcl-000,70061,door-alfcl-russell,,0,1,136,171,,,Red Line to Alewife - Russell Field,,Alewife - Russell Field,
alfcl-001,70061,141,,0,2,140,259,,,Red Line to Busway,,Busway,
alfcl-002,70061,door-alfcl-cambridgepark,,0,1,212,255,,,"Red Line to Alewife - Cambridgepark Dr, Alewife Brook Pkwy",,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy",
alfcl-003,70061,door-alfcl-busway,,0,1,144,264,,,"Red Line to Alewife - Garage, Buses",,"Alewife - Garage, Buses",
alfcl-004,70061,door-alfcl-steel,,0,1,185,322,,,"Red Line to Alewife - Steel Place, Alewife Brook Reserve",,"Alewife - Steel Place, Alewife Brook Reserve",
alfcl-005,70061,door-alfcl-alewife,,0,1,125,287,,,Red Line to Alewife - Alewife Path,,Alewife - Alewife Path,
alfcl-006,141,door-alfcl-russell,,0,1,-1,-1,,,Busway to Alewife - Russell Field,,Alewife - Russell Field,
alfcl-007,141,door-alfcl-alewife,,0,1,72,188,,,Busway to Alewife - Alewife Path,,Alewife - Alewife Path,
alfcl-008,141,door-alfcl-busway,,0,1,4,6,,,"Busway to Alewife - Garage, Buses",,"Alewife - Garage, Buses",
alfcl-009,141,door-alfcl-steel,,0,1,78,257,,,"Busway to Alewife - Steel Place, Alewife Brook Reserve",,"Alewife - Steel Place, Alewife Brook Reserve",
alfcl-010,141,door-alfcl-cambridgepark,,0,1,128,240,,,"Busway to Alewife - Cambridgepark Dr, Alewife Brook Pkwy",,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy",
alfcl-011,door-alfcl-russell,70061,,0,1,146,181,,,Alewife - Russell Field to Red Line,,Ashmont/Braintree,
alfcl-012,141,70061,,0,2,137,263,,,Busway to Red Line,,Ashmont/Braintree,
alfcl-013,door-alfcl-cambridgepark,70061,,0,1,205,260,,,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy to Red Line",,Ashmont/Braintree,
alfcl-014,door-alfcl-busway,70061,,0,1,141,269,,,"Alewife - Garage, Buses to Red Line",,Ashmont/Braintree,
alfcl-015,door-alfcl-steel,70061,,0,1,182,326,,,"Alewife - Steel Place, Alewife Brook Reserve to Red Line",,Ashmont/Braintree,
alfcl-016,door-alfcl-alewife,70061,,0,1,122,200,,,Alewife - Alewife Path to Red Line,,Ashmont/Braintree,
alfcl-017,door-alfcl-russell,141,,0,1,-1,-1,,,Alewife - Russell Field to Busway,,Busway,
alfcl-018,door-alfcl-alewife,141,,0,1,72,183,,,Alewife - Alewife Path to Busway,,Busway,
alfcl-019,door-alfcl-busway,141,,0,1,4,6,,,"Alewife - Garage, Buses to Busway",,Busway,
alfcl-020,door-alfcl-steel,141,,0,1,88,257,,,"Alewife - Steel Place, Alewife Brook Reserve to Busway",,Busway,
alfcl-021,door-alfcl-cambridgepark,141,,0,1,137,241,,,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy to Busway",,Busway,
alfcl-022,Alewife-01,door-alfcl-russell,,0,1,136,171,,,Red Line (Track 1) to Alewife - Russell Field,,Alewife - Russell Field,
alfcl-023,Alewife-01,141,,0,2,140,259,,,Red Line (Track 1) to Busway,,Busway,
alfcl-024,Alewife-01,door-alfcl-cambridgepark,,0,1,212,255,,,"Red Line (Track 1) to Alewife - Cambridgepark Dr, Alewife Brook Pkwy",,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy",
alfcl-025,Alewife-01,door-alfcl-busway,,0,1,144,264,,,"Red Line (Track 1) to Alewife - Garage, Buses",,"Alewife - Garage, Buses",
alfcl-026,Alewife-01,door-alfcl-steel,,0,1,185,322,,,"Red Line (Track 1) to Alewife - Steel Place, Alewife Brook Reserve",,"Alewife - Steel Place, Alewife Brook Reserve",
alfcl-027,Alewife-01,door-alfcl-alewife,,0,1,125,287,,,Red Line (Track 1) to Alewife - Alewife Path,,Alewife - Alewife Path,
alfcl-028,door-alfcl-russell,Alewife-01,,0,1,136,171,,,Alewife - Russell Field to Red Line (Track 1),,Track 1,
alfcl-029,141,Alewife-01,,0,2,127,253,,,Busway to Red Line (Track 1),,Track 1,
alfcl-030,door-alfcl-cambridgepark,Alewife-01,,0,1,195,250,,,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy to Red Line (Track 1)",,Track 1,
alfcl-031,door-alfcl-busway,Alewife-01,,0,1,131,259,,,"Alewife - Garage, Buses to Red Line (Track 1)",,Track 1,
alfcl-032,door-alfcl-steel,Alewife-01,,0,1,172,316,,,"Alewife - Steel Place, Alewife Brook Reserve to Red Line (Track 1)",,Track 1,
alfcl-033,door-alfcl-alewife,Alewife-01,,0,1,112,190,,,Alewife - Alewife Path to Red Line (Track 1),,Track 1,
alfcl-034,Alewife-02,door-alfcl-russell,,0,1,136,171,,,Red Line (Track 2) to Alewife - Russell Field,,Alewife - Russell Field,
alfcl-035,Alewife-02,141,,0,2,140,259,,,Red Line (Track 2) to Busway,,Busway,
alfcl-036,Alewife-02,door-alfcl-cambridgepark,,0,1,212,255,,,"Red Line (Track 2) to Alewife - Cambridgepark Dr, Alewife Brook Pkwy",,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy",
alfcl-037,Alewife-02,door-alfcl-busway,,0,1,144,264,,,"Red Line (Track 2) to Alewife - Garage, Buses",,"Alewife - Garage, Buses",
alfcl-038,Alewife-02,door-alfcl-steel,,0,1,185,322,,,"Red Line (Track 2) to Alewife - Steel Place, Alewife Brook Reserve",,"Alewife - Steel Place, Alewife Brook Reserve",
alfcl-039,Alewife-02,door-alfcl-alewife,,0,1,125,287,,,Red Line (Track 2) to Alewife - Alewife Path,,Alewife - Alewife Path,
