"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"01_-1054","1","1",,,3,,"FFFF7C","000000"
"04_-1054","1","4",,,3,,"FFFF7C","000000"
"041-1054","1","4",,,3,,"FFFF7C","000000"
"05_-1054","1","5",,,3,,"FFFF7C","000000"
"071-1054","1","7",,,3,,"FFFF7C","000000"
"072-1054","1","7",,,3,,"FFFF7C","000000"
"073-1054","1","7",,,3,,"FFFF7C","000000"
"074-1054","1","7",,,3,,"FFFF7C","000000"
"077-1054","1","7",,,3,,"FFFF7C","000000"
"081-1054","1","8",,,3,,"FFFF7C","000000"
"082-1054","1","8",,,3,,"FFFF7C","000000"
"083-1054","1","8",,,3,,"FFFF7C","000000"
"089-1054","1","8",,,3,,"FFFF7C","000000"
"09_-1054","1","9",,,3,,"FFFF7C","000000"
"091-1054","1","9",,,3,,"FFFF7C","000000"
"093-1054","1","9",,,3,,"FFFF7C","000000"
"094-1054","1","9",,,3,,"FFFF7C","000000"
"095-1054","1","9",,,3,,"FFFF7C","000000"
"10_-1054","1","10",,,3,,"FFFF7C","000000"
"100_-1054","1","100",,,3,,"FFFF7C","000000"
"1001-1054","1","100",,,3,,"FFFF7C","000000"
"1003-1054","1","100",,,3,,"FFFF7C","000000"
"101_-1054","1","101",,,3,,"FFFF7C","000000"
"101-1054","1","10",,,3,,"FFFF7C","000000"
"1011-1054","1","101",,,3,,"FFFF7C","000000"
"1012-1054","1","101",,,3,,"FFFF7C","000000"
"1013-1054","1","101",,,3,,"FFFF7C","000000"
"1014-1054","1","101",,,3,,"FFFF7C","000000"
"1018-1054","1","101",,,3,,"FFFF7C","000000"
"102-1054","1","10",,,3,,"FFFF7C","000000"
"103-1054","1","10",,,3,,"FFFF7C","000000"
"104_-1054","1","104",,,3,,"FFFF7C","000000"
"104-1054","1","10",,,3,,"FFFF7C","000000"
"105-1054","1","10",,,3,,"FFFF7C","000000"
"1051-1054","1","105",,,3,,"FFFF7C","000000"
"106_-1054","1","106",,,3,,"FFFF7C","000000"
"106-1054","1","10",,,3,,"FFFF7C","000000"
"1063-1054","1","106",,,3,,"FFFF7C","000000"
"1064-1054","1","106",,,3,,"FFFF7C","000000"
"1065-1054","1","106",,,3,,"FFFF7C","000000"
"1066-1054","1","106",,,3,,"FFFF7C","000000"
"1067-1054","1","106",,,3,,"FFFF7C","000000"
"1068-1054","1","106",,,3,,"FFFF7C","000000"
"1069-1054","1","106",,,3,,"FFFF7C","000000"
"108-1054","1","10",,,3,,"FFFF7C","000000"
"1081-1054","1","108",,,3,,"FFFF7C","000000"
"1082-1054","1","108",,,3,,"FFFF7C","000000"
"1083-1054","1","108",,,3,,"FFFF7C","000000"
"1086-1054","1","108",,,3,,"FFFF7C","000000"
"1087-1054","1","108",,,3,,"FFFF7C","000000"
"1088-1054","1","108",,,3,,"FFFF7C","000000"
"109_-1054","1","109",,,3,,"FFFF7C","000000"
"109-1054","1","10",,,3,,"FFFF7C","000000"
"1091-1054","1","109",,,3,,"FFFF7C","000000"
"110_-1054","1","110",,,3,,"FFFF7C","000000"
"1102-1054","1","110",,,3,,"FFFF7C","000000"
"1104-1054","1","110",,,3,,"FFFF7C","000000"
"1109-1054","1","110",,,3,,"FFFF7C","000000"
"1115-1054","1","111",,,3,,"FFFF7C","000000"
"1116-1054","1","111",,,3,,"FFFF7C","000000"
"1118-1054","1","111",,,3,,"FFFF7C","000000"
"112_-1054","1","112",,,3,,"FFFF7C","000000"
"112-1054","1","11",,,3,,"FFFF7C","000000"
"1121-1054","1","112",,,3,,"FFFF7C","000000"
"1122-1054","1","112",,,3,,"FFFF7C","000000"
"113-1054","1","11",,,3,,"FFFF7C","000000"
"114_-1054","1","114",,,3,,"FFFF7C","000000"
"114-1054","1","11",,,3,,"FFFF7C","000000"
"1141-1054","1","114",,,3,,"FFFF7C","000000"
"1142-1054","1","114",,,3,,"FFFF7C","000000"
"1164-1054","1","116",,,3,,"FFFF7C","000000"
"1169-1054","1","116",,,3,,"FFFF7C","000000"
"117_-1054","1","117",,,3,,"FFFF7C","000000"
"1171-1054","1","117",,,3,,"FFFF7C","000000"
"1172-1054","1","117",,,3,,"FFFF7C","000000"
"1175-1054","1","117",,,3,,"FFFF7C","000000"
"1179-1054","1","117",,,3,,"FFFF7C","000000"
"1191-1054","1","119",,,3,,"FFFF7C","000000"
"1192-1054","1","119",,,3,,"FFFF7C","000000"
"120_-1054","1","120",,,3,,"FFFF7C","000000"
"1201-1054","1","120",,,3,,"FFFF7C","000000"
