route_name,direction_name,stop_id,stop_name,stop_do
Green Line D branch,Westbound,70210,Lechmere -  Inbound,1
Green Line D branch,Westbound,70208,Science Park - Inbound,2
Green Line D branch,Westbound,70206,North Station - Green Line Inbound,3
Green Line D branch,Westbound,70204,Haymarket - Green Line Inbound,4
Green Line D branch,Westbound,70202,Government Center - Green Line Westbound,5
Green Line D branch,Westbound,70198,Park Street - Green Line - D Branch Berth,6
Green Line D branch,Westbound,70159,Boylston - Outbound,7
Green Line D branch,Westbound,70157,Arlington - Outbound,8
Green Line D branch,Westbound,70155,Copley - Outbound,9
Green Line D branch,Westbound,70153,Hynes - Outbound,10
Green Line D branch,Westbound,70151,Kenmore - Outbound,11
Green Line D branch,Westbound,70187,Fenway - Outbound,12
Green Line D branch,Westbound,70183,Longwood - Outbound,13
Green Line D branch,Westbound,70181,Brookline Village - Outbound,14
Green Line D branch,Westbound,70179,Brookline Hills - Outbound,15
Green Line D branch,Westbound,70177,Beaconsfield - Outbound,16
Green Line D branch,Westbound,70175,Reservoir - Outbound,17
Green Line D branch,Westbound,70173,Chestnut Hill - Outbound,18
Green Line D branch,Westbound,70171,Newton Centre - Outbound,19
Green Line D branch,Westbound,70169,Newton Highlands - Outbound,20
Green Line D branch,Westbound,70167,Eliot - Outbound,21
Green Line D branch,Westbound,70165,Waban - Outbound,22
Green Line D branch,Westbound,70163,Woodland - Outbound,23
Green Line D branch,Westbound,70161,Riverside - Outbound,24
Green Line D branch,Eastbound,70160,Riverside - Inbound,1
Green Line D branch,Eastbound,70162,Woodland - Inbound,2
Green Line D branch,Eastbound,70164,Waban - Inbound,3
Green Line D branch,Eastbound,70166,Eliot - Inbound,4
Green Line D branch,Eastbound,70168,Newton Highlands - Inbound,5
Green Line D branch,Eastbound,70170,Newton Centre - Inbound,6
Green Line D branch,Eastbound,70172,Chestnut Hill - Inbound,7
Green Line D branch,Eastbound,70174,Reservoir - Inbound,8
Green Line D branch,Eastbound,70176,Beaconsfield - Inbound,9
Green Line D branch,Eastbound,70178,Brookline Hills - Inbound,10
Green Line D branch,Eastbound,70180,Brookline Village - Inbound,11
Green Line D branch,Eastbound,70182,Longwood - Inbound,12
Green Line D branch,Eastbound,70186,Fenway - Inbound,13
Green Line D branch,Eastbound,70150,Kenmore - Inbound,14
Green Line D branch,Eastbound,70152,Hynes - Inbound,15
Green Line D branch,Eastbound,70154,Copley - Inbound,16
Green Line D branch,Eastbound,70156,Arlington - Inbound,17
Green Line D branch,Eastbound,70158,Boylston - Inbound,18
Green Line D branch,Eastbound,70200,Park Street - Green Line Eastbound,19
Green Line D branch,Eastbound,70201,Government Center - Green Line Eastbound,20
Green Line D branch,Eastbound,70203,Haymarket - Green Line Outbound,21
Green Line D branch,Eastbound,70205,North Station - Green Line Outbound,22
Green Line D branch,Eastbound,70207,Science Park - Outbound,23
Green Line D branch,Eastbound,70209,Lechmere - Outbound,24
Green Line D,Westbound,70210,Lechmere -  Inbound,1
Green Line D,Westbound,70208,Science Park - Inbound,2
Green Line D,Westbound,70206,North Station - Green Line Inbound,3
Green Line D,Westbound,70204,Haymarket - Green Line Inbound,4
Green Line D,Westbound,70202,Government Center - Green Line Westbound,5
Green Line D,Westbound,70198,Park Street - Green Line - D Berth,6
Green Line D,Westbound,70159,Boylston - Outbound,7
Green Line D,Westbound,70157,Arlington - Outbound,8
Green Line D,Westbound,70155,Copley - Outbound,9
Green Line D,Westbound,70153,Hynes - Outbound,10
Green Line D,Westbound,70151,Kenmore - Outbound,11
Green Line D,Westbound,70187,Fenway - Outbound,12
Green Line D,Westbound,70183,Longwood - Outbound,13
Green Line D,Westbound,70181,Brookline Village - Outbound,14
Green Line D,Westbound,70179,Brookline Hills - Outbound,15
Green Line D,Westbound,70177,Beaconsfield - Outbound,16
Green Line D,Westbound,70175,Reservoir - Outbound,17
Green Line D,Westbound,70173,Chestnut Hill - Outbound,18
Green Line D,Westbound,70171,Newton Centre - Outbound,19
Green Line D,Westbound,70169,Newton Highlands - Outbound,20
Green Line D,Westbound,70167,Eliot - Outbound,21
Green Line D,Westbound,70165,Waban - Outbound,22
Green Line D,Westbound,70163,Woodland - Outbound,23
Green Line D,Westbound,70161,Riverside - Outbound,24
Green Line D,Eastbound,70160,Riverside - Inbound,1
Green Line D,Eastbound,70162,Woodland - Inbound,2
Green Line D,Eastbound,70164,Waban - Inbound,3
Green Line D,Eastbound,70166,Eliot - Inbound,4
Green Line D,Eastbound,70168,Newton Highlands - Inbound,5
Green Line D,Eastbound,70170,Newton Centre - Inbound,6
Green Line D,Eastbound,70172,Chestnut Hill - Inbound,7
Green Line D,Eastbound,70174,Reservoir - Inbound,8
Green Line D,Eastbound,70176,Beaconsfield - Inbound,9
Green Line D,Eastbound,70178,Brookline Hills - Inbound,10
Green Line D,Eastbound,70180,Brookline Village - Inbound,11
Green Line D,Eastbound,70182,Longwood - Inbound,12
Green Line D,Eastbound,70186,Fenway - Inbound,13
Green Line D,Eastbound,70150,Kenmore - Inbound,14
Green Line D,Eastbound,70152,Hynes - Inbound,15
Green Line D,Eastbound,70154,Copley - Inbound,16
Green Line D,Eastbound,70156,Arlington - Inbound,17
Green Line D,Eastbound,70158,Boylston - Inbound,18
Green Line D,Eastbound,70200,Park Street - Green Line Eastbound,19
Green Line D,Eastbound,70201,Government Center - Green Line Eastbound,20
Green Line D,Eastbound,70203,Haymarket - Green Line Outbound,21
Green Line D,Eastbound,70205,North Station - Green Line Outbound,22
Green Line D,Eastbound,70207,Science Park - Outbound,23
Green Line D,Eastbound,70209,Lechmere - Outbound,24
Haverhill Line,Outbound,North Station,North Station,1
Haverhill Line,Outbound,Malden Center,Malden Center,2
Haverhill Line,Outbound,Wyoming Hill,Wyoming Hill,3
