stop_id,stop_name,stop_desc,stop_lat,stop_lon,level_id,location_type,parent_station,wheelchair_boarding,stop_code,platform_code,platform_name,zone_id,stop_url,stop_address
door-qnctr-burgin,Quincy Center - Burgin Parkway,Quincy Center - Burgin Parkway,42.251403,-71.005508,level_1_in_street,2,place-qnctr,2,,,,,,
door-qnctr-busway,Quincy Center - Hancock St,Quincy Center - Hancock St,42.251586,-71.005003,level_ground,2,place-qnctr,1,,,,,,
door-mlmnl-pleasant,"Malden Center - Summer St, Pleasant St","Malden Center - Summer St, Pleasant St",42.426880,-71.074355,level_ground,2,place-mlmnl,1,,,,,,
door-mlmnl-commercial,"Malden Center - Commercial St, Malden Government Center","Malden Center - Commercial St, Malden Government Center",42.426814,-71.073983,level_ground,2,place-mlmnl,2,,,,,,
door-mlmnl-ramp,"Malden Center - Commercial St, Malden Government Center (ramp)","Malden Center - Commercial St, Malden Government Center (ramp)",42.426890,-71.073987,level_ground,2,place-mlmnl,1,,,,,,
door-brntn-busway,"Braintree - Garage, Buses, Ivory St","Braintree - Garage, Buses, Ivory St",42.207352,-71.001361,level_ground,2,place-brntn,1,,,,,,
door-brntn-faregates,"Braintree - Garage, Buses, Union St","Braintree - Garage, Buses, Union St",42.207528,-71.001339,level_ground,2,place-brntn,1,,,,,,
door-jfk-columbia,JFK/UMass - Columbia Rd,JFK/UMass - Columbia Rd,42.321358,-71.052583,level_columbia_rd,2,place-jfk,1,,,,,,
door-jfk-busway,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Ramp)","JFK/UMass - Busway, JFK Library, Mount Vernon St (Ramp)",42.320486,-71.051545,level_ground,2,place-jfk,1,,,,,,
door-jfk-oldcolony,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)","JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",42.320829,-71.051623,level_ground,2,place-jfk,2,,,,,,
door-jfk-sydneys,JFK/UMass - Sydney St (South),JFK/UMass - Sydney St (South),42.319895,-71.052602,level_in_street,2,place-jfk,2,,,,,,
door-jfk-sydneyn,JFK/UMass - Sydney St (North),JFK/UMass - Sydney St (North),42.320597,-71.052713,level_in_street,2,place-jfk,2,,,,,,
door-forhl-upper,Forest Hills - Washington St,Forest Hills - Washington St,42.300466,-71.114149,level_washington_st,2,place-forhl,1,,,,,,
