trip_id,trip_property_id,value
59428288,note,Waits at Ashmont for last Red Line train
59428288,note,Waits at Ashmont for last Red Line train
59428288,trip_type,wait
59428480,note,Waits at Ashmont for last Red Line train
59428480,trip_type,wait
59624062,note,Waits at Ashmont for last Red Line train
59624062,note,Waits at Ashmont for last Red Line train
59624062,trip_type,wait
59668981,note,Waits at State for last Blue Line train
59668981,note,Waits at Downtown Crossing for last Red Line train
59668981,trip_type,wait
59669063,note,Waits at Downtown Crossing for last Red Line train
59669063,trip_type,wait
59736299,note,Waits at some downtown stations for connections
59736299,trip_type,wait
59736320,note,Waits at Government Center for last Green Line train
59736320,note,Waits at State for last Orange Line train
59736320,trip_type,wait
59736741,note,Waits at Government Center for last Green Line train
59736741,note,Waits at State for last Orange Line train
59736741,trip_type,wait
59736781,note,Waits at some downtown stations for connections
59736781,trip_type,wait
59812820,note,Waits at South Station for last Red Line train
59812820,trip_type,wait
59812991,note,Waits at Ruggles for last Orange Line train
59812991,trip_type,wait
59812993,note,Waits at Mattapan for last Mattapan Trolley train
59812993,trip_type,wait
59812997,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
59812997,trip_type,wait
59813718,note,Waits at Back Bay for last Orange Line train
59813718,trip_type,wait
59813909,note,Waits at South Station for last Red Line train
59813909,trip_type,wait
59818231,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
59818231,trip_type,wait
59818362,note,Waits at Mattapan for last Mattapan Trolley train
59818362,trip_type,wait
59818382,note,Waits at Ruggles for last Orange Line train
59818382,trip_type,wait
59818613,note,Waits at South Station for last Red Line train
59818613,trip_type,wait
59818918,note,Waits at Back Bay for last Orange Line train
59818918,trip_type,wait
59819167,note,Waits at South Station for last Red Line train
59819167,trip_type,wait
59952650,note,Waits at some downtown stations for connections
59952650,trip_type,wait
59952809,note,Waits at some downtown stations for connections
59952809,trip_type,wait
59953313,note,Waits at Park Street for last Red Line and Green Line trains
59953313,trip_type,wait
59953460,note,Waits at some downtown stations for connections
59953460,trip_type,wait
59953921,note,Waits at some downtown stations for connections
59953921,trip_type,wait
59953937,note,Waits at some downtown stations for connections
59953937,trip_type,wait
60069024,note,Waits at Ruggles for last Orange Line train
60069024,trip_type,wait
60069050,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
60069050,trip_type,wait
60069161,note,Waits at W Broadway @ Broadway Station for last Red Line train
60069161,trip_type,wait
60069370,note,Waits at W Broadway @ Broadway Station for last Red Line train
60069370,trip_type,wait
60069404,note,Waits at Ruggles for last Orange Line train
60069404,trip_type,wait
60069476,note,Waits at Massachusetts Ave @ Pearl St for last Red Line train
60069476,trip_type,wait
60069483,note,Waits at Ruggles for last Orange Line train
60069483,trip_type,wait
60069619,note,Waits at Boylston St @ Dartmouth St for last Green Line train
60069619,trip_type,wait
60069689,note,Waits at Kenmore for last Green Line train
60069689,trip_type,wait
60069881,note,Waits at Ashmont for last Red Line train
60069881,trip_type,wait
60069938,note,Waits at Ruggles for last Orange Line train
60069938,trip_type,wait
60070012,note,Waits at Andrew for last Red Line train
60070012,trip_type,wait
60070013,note,Waits at Forest Hills for last Orange Line train
60070013,trip_type,wait
60070143,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
60070143,trip_type,wait
60070172,note,Waits at Nubian for last Silver Line bus
60070172,trip_type,wait
60070445,note,Waits at Nubian for last Silver Line bus
60070445,trip_type,wait
60070541,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
60070541,trip_type,wait
60073153,note,Waits at Ruggles for last Orange Line train
60073153,trip_type,wait
60073193,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
60073193,trip_type,wait
60073333,note,Waits at W Broadway @ Broadway Station for last Red Line train
60073333,trip_type,wait
60073444,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
60073444,trip_type,wait
60073446,note,Waits at Nubian for last Silver Line bus
60073446,trip_type,wait
60073556,note,Waits at W Broadway @ Broadway Station for last Red Line train
60073556,trip_type,wait
60073686,note,Waits at Ruggles for last Orange Line train
60073686,trip_type,wait
60073898,note,Waits at Nubian for last Silver Line bus
60073898,trip_type,wait
60073908,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
60073908,trip_type,wait
60074049,note,Waits at Kenmore for last Green Line train
60074049,trip_type,wait
60074106,note,Waits at Boylston St @ Dartmouth St for last Green Line train
60074106,trip_type,wait
60074188,note,Waits at Andrew for last Red Line train
60074188,trip_type,wait
60074189,note,Waits at Forest Hills for last Orange Line train
60074189,trip_type,wait
60074384,note,Waits at Ashmont for last Red Line train
60074384,trip_type,wait
60074455,note,Waits at Ruggles for last Orange Line train
60074455,trip_type,wait
60107597,note,Waits at Government Center for last Green Line train
60107597,note,Waits at State for last Orange Line train
60107597,trip_type,wait
60107600,note,Waits at some downtown stations for connections
60107600,trip_type,wait
60112151,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
